State	Up	Down	Left	Right	Policy
((0, 12), (3, 9))	-138.85	-164.10	-139.51	-139.67	UP
((0, 12), (3, 10))	-80.22	-99.07	-80.68	-80.19	RIGHT
((0, 12), (3, 13))	0.00	-0.50	-0.70	0.00	UP
((0, 12), (4, 1))	-677.20	-677.29	-676.82	-675.90	RIGHT
((0, 12), (4, 2))	-651.16	-651.56	-651.22	-651.10	RIGHT
((0, 12), (4, 4))	-573.30	-572.50	-573.60	-573.37	DOWN
((0, 12), (4, 5))	-319.14	-319.36	-317.87	-318.37	LEFT
((0, 12), (4, 6))	-248.25	-247.14	-247.02	-248.03	LEFT
((0, 12), (4, 7))	-149.79	-177.56	-149.84	-148.72	RIGHT
((0, 12), (4, 8))	-145.09	-145.16	-145.35	-145.15	UP
((0, 12), (4, 9))	-156.28	-205.73	-155.89	-156.50	LEFT
((0, 12), (4, 10))	-157.46	-198.22	-157.64	-157.19	RIGHT
((0, 13), (1, 1))	-627.32	-626.82	-631.10	-626.97	DOWN
((0, 13), (1, 2))	-603.54	-603.76	-602.46	-603.41	LEFT
((0, 13), (1, 3))	-604.28	-606.28	-605.79	-605.55	UP
((0, 13), (1, 4))	-535.32	-535.42	-534.35	-535.65	LEFT
((0, 13), (1, 5))	-584.83	-584.32	-585.77	-585.51	DOWN
((0, 13), (1, 8))	-115.69	-115.76	-115.56	-115.44	RIGHT
((0, 13), (1, 9))	-115.72	-114.98	-115.90	-115.34	DOWN
((0, 13), (1, 10))	-32.69	-32.71	-33.01	-32.34	RIGHT
((0, 13), (1, 11))	-28.64	-28.14	-28.87	-28.28	DOWN
((0, 13), (1, 12))	-16.53	-16.63	34.46	-16.73	LEFT
((0, 13), (1, 13))	800.05	878.10	804.08	810.57	DOWN
((0, 13), (2, 1))	-641.94	-643.75	-643.94	-643.04	UP
((0, 13), (2, 2))	-575.91	-576.28	-577.89	-577.35	UP
((0, 13), (2, 4))	-522.62	-521.87	-522.56	-522.22	DOWN
((0, 13), (2, 5))	-458.52	-459.01	-458.20	-457.85	RIGHT
((0, 13), (2, 8))	-145.83	-146.08	-144.96	-145.20	LEFT
((0, 13), (2, 9))	-122.52	-123.06	-122.41	-123.24	LEFT
((0, 13), (2, 10))	-62.20	-62.55	-61.89	-62.92	LEFT
((0, 13), (2, 11))	-37.14	-36.75	-37.62	-37.29	DOWN
((0, 13), (2, 13))	592.53	710.06	581.14	591.33	DOWN
((0, 13), (3, 1))	-627.62	-628.03	-626.39	-628.49	LEFT
((0, 13), (3, 2))	-633.44	-635.16	-635.53	-634.96	UP
((0, 13), (3, 4))	-578.94	-577.74	-579.38	-578.31	DOWN
((0, 13), (3, 5))	-391.24	-391.32	-391.19	-390.84	RIGHT
((0, 13), (3, 7))	-136.69	-137.58	-137.45	-137.24	UP
((0, 13), (3, 8))	-136.56	-137.89	-138.15	-137.39	UP
((0, 13), (3, 9))	-140.49	-140.73	-141.01	-140.37	RIGHT
((0, 13), (3, 10))	-78.34	-78.65	-79.35	-78.70	UP
((0, 13), (3, 13))	-0.50	626.31	-0.60	-0.50	DOWN
((0, 13), (4, 1))	-672.43	-672.41	-673.40	-670.89	RIGHT
((0, 13), (4, 2))	-644.70	-645.22	-646.92	-645.90	UP
((0, 13), (4, 4))	-565.21	-566.28	-567.16	-566.17	UP
((0, 13), (4, 5))	-315.86	-316.86	-317.08	-316.87	UP
((0, 13), (4, 6))	-243.75	-245.03	-244.06	-244.95	UP
((0, 13), (4, 7))	-145.07	-146.28	-145.86	-147.32	UP
((0, 13), (4, 8))	-142.28	-141.44	-141.94	-142.66	DOWN
((0, 13), (4, 9))	-156.16	-156.16	-155.70	-155.92	LEFT
((0, 13), (4, 10))	-157.04	-157.64	-157.55	-156.81	RIGHT
((1, 0), (1, 1))	-329.55	-327.60	-319.70	-224.91	RIGHT
((1, 0), (1, 2))	-350.41	-375.74	-325.97	-317.93	RIGHT
((1, 0), (1, 3))	-745.43	-749.06	-709.15	-332.25	RIGHT
((1, 0), (1, 4))	-690.96	-690.72	-690.00	-690.76	LEFT
((1, 0), (1, 5))	-660.00	-659.00	-659.13	-660.00	DOWN
((1, 0), (1, 8))	-19.22	-17.60	-18.76	-17.61	DOWN
((1, 0), (1, 9))	-51.74	-51.93	-51.84	-50.81	RIGHT
((1, 0), (2, 1))	-771.24	-771.01	-771.67	-771.40	DOWN
((1, 0), (2, 2))	-753.25	-753.63	-753.76	-753.65	UP
((1, 0), (2, 4))	-682.45	-682.59	-682.42	-682.81	LEFT
((1, 0), (2, 5))	-600.70	-600.76	-600.32	-599.51	RIGHT
((1, 0), (2, 8))	-72.34	-73.19	-72.08	-72.70	LEFT
((1, 0), (2, 9))	-60.71	-60.46	-59.98	-61.90	LEFT
((1, 0), (2, 10))	-11.14	-10.52	-10.33	-10.39	LEFT
((1, 0), (2, 11))	-1.80	-1.60	-1.70	-1.75	DOWN
((1, 0), (3, 1))	-778.39	-779.29	-778.36	-778.52	LEFT
((1, 0), (3, 2))	-761.15	-761.80	-761.31	-761.26	UP
((1, 0), (3, 4))	-665.25	-665.56	-666.20	-665.19	RIGHT
((1, 0), (3, 5))	-499.04	-500.04	-499.67	-499.24	UP
((1, 0), (3, 7))	-68.29	-67.42	-66.92	-67.89	LEFT
((1, 0), (3, 8))	-65.70	-66.57	-66.31	-65.85	UP
((1, 0), (3, 9))	-67.48	-67.23	-66.64	-66.09	RIGHT
((1, 0), (3, 10))	-15.08	-14.49	-13.77	-13.53	RIGHT
((1, 0), (4, 1))	-788.73	-788.07	-788.47	-788.75	DOWN
((1, 0), (4, 2))	-780.17	-780.26	-780.92	-780.79	UP
((1, 0), (4, 4))	-629.88	-628.97	-628.82	-629.61	LEFT
((1, 0), (4, 5))	-458.32	-457.92	-457.78	-458.78	LEFT
((1, 0), (4, 6))	-285.65	-285.30	-285.56	-285.32	DOWN
((1, 0), (4, 7))	-95.82	-96.96	-95.68	-96.58	LEFT
((1, 0), (4, 8))	-104.54	-103.96	-104.14	-107.01	DOWN
((1, 0), (4, 9))	-85.77	-86.65	-86.46	-86.05	UP
((1, 0), (4, 10))	-61.01	-60.63	-61.61	-61.46	DOWN
((1, 1), (1, 2))	-328.70	-328.79	-327.26	-193.71	RIGHT
((1, 1), (1, 3))	-399.98	-420.07	-415.08	-315.80	RIGHT
((1, 1), (1, 4))	-626.77	-690.93	-693.40	-288.10	RIGHT
((1, 1), (1, 5))	-660.09	-660.59	-660.44	-624.07	RIGHT
((1, 1), (1, 8))	-21.46	-21.89	-19.95	-20.92	LEFT
((1, 1), (1, 9))	-54.56	-53.01	-52.64	-53.19	LEFT
((1, 1), (2, 1))	-768.40	-770.25	-767.36	-767.86	LEFT
((1, 1), (2, 2))	-752.24	-759.16	-752.69	-752.12	RIGHT
((1, 1), (2, 4))	-683.31	-683.40	-684.52	-683.76	UP
((1, 1), (2, 5))	-601.68	-601.86	-601.38	-601.41	LEFT
((1, 1), (2, 8))	-74.37	-75.36	-74.37	-77.03	LEFT
((1, 1), (2, 9))	-63.83	-64.85	-64.65	-65.56	UP
((1, 1), (2, 10))	-14.47	-13.33	-12.36	-11.52	RIGHT
((1, 1), (2, 11))	-1.70	-2.99	-1.70	-3.11	UP
((1, 1), (3, 1))	-778.29	-778.05	-777.78	-778.41	LEFT
((1, 1), (3, 2))	-759.34	-759.64	-758.75	-758.57	RIGHT
((1, 1), (3, 4))	-666.71	-666.20	-666.92	-666.63	DOWN
((1, 1), (3, 5))	-500.81	-500.44	-500.68	-501.88	DOWN
((1, 1), (3, 7))	-68.95	-69.32	-69.12	-68.99	UP
((1, 1), (3, 8))	-68.27	-66.98	-68.08	-67.21	DOWN
((1, 1), (3, 9))	-68.91	-67.78	-69.05	-69.44	DOWN
((1, 1), (3, 10))	-16.37	-16.60	-15.73	-17.72	LEFT
((1, 1), (4, 1))	-788.39	-788.90	-788.16	-788.69	LEFT
((1, 1), (4, 2))	-779.88	-779.48	-779.49	-778.67	RIGHT
((1, 1), (4, 4))	-630.12	-629.92	-630.63	-630.92	DOWN
((1, 1), (4, 5))	-461.36	-460.79	-460.74	-461.20	LEFT
((1, 1), (4, 6))	-287.50	-287.83	-287.83	-287.45	RIGHT
((1, 1), (4, 7))	-95.04	-96.14	-96.29	-97.92	UP
((1, 1), (4, 8))	-107.79	-106.99	-107.10	-107.43	DOWN
((1, 1), (4, 9))	-86.95	-86.09	-87.85	-86.23	DOWN
((1, 1), (4, 10))	-62.96	-62.84	-63.34	-64.09	DOWN
((1, 2), (1, 1))	-749.56	-314.09	-710.63	-753.41	DOWN
((1, 2), (1, 3))	-362.63	-348.62	-367.87	-148.43	RIGHT
((1, 2), (1, 4))	-342.57	-406.94	-380.33	-333.03	RIGHT
((1, 2), (1, 5))	-593.52	-677.06	-661.82	-339.66	RIGHT
((1, 2), (1, 8))	-25.16	-26.33	-24.75	-23.96	RIGHT
((1, 2), (1, 9))	-58.78	-84.43	-58.26	-58.67	LEFT
((1, 2), (1, 10))	0.00	0.00	0.00	-1.40	UP
((1, 2), (2, 1))	-768.18	-769.24	-768.60	-771.91	UP
((1, 2), (2, 2))	-746.10	-761.69	-746.95	-765.36	UP
((1, 2), (2, 4))	-686.67	-687.51	-686.85	-686.80	UP
((1, 2), (2, 5))	-605.05	-637.21	-604.58	-610.86	LEFT
((1, 2), (2, 8))	-80.75	-97.63	-79.45	-79.27	RIGHT
((1, 2), (2, 9))	-73.42	-74.70	-72.15	-74.56	LEFT
((1, 2), (2, 10))	-15.76	-15.67	-16.75	-16.83	DOWN
((1, 2), (2, 11))	-4.79	-5.10	-4.50	-4.76	LEFT
((1, 2), (3, 1))	-775.80	-778.81	-776.25	-784.19	UP
((1, 2), (3, 2))	-756.22	-757.69	-755.39	-780.70	LEFT
((1, 2), (3, 4))	-668.15	-668.18	-668.14	-688.15	LEFT
((1, 2), (3, 5))	-504.75	-502.66	-502.72	-503.56	DOWN
((1, 2), (3, 7))	-70.96	-71.43	-70.95	-70.57	RIGHT
((1, 2), (3, 8))	-69.42	-68.60	-69.75	-69.38	DOWN
((1, 2), (3, 9))	-72.63	-73.05	-72.98	-89.53	UP
((1, 2), (3, 10))	-21.62	-20.54	-20.58	-46.63	DOWN
((1, 2), (4, 1))	-786.47	-806.08	-786.35	-792.92	LEFT
((1, 2), (4, 2))	-777.88	-783.68	-778.21	-775.39	RIGHT
((1, 2), (4, 4))	-632.51	-645.82	-632.77	-632.76	UP
((1, 2), (4, 5))	-465.59	-464.91	-465.24	-465.68	DOWN
((1, 2), (4, 6))	-292.21	-312.31	-291.77	-291.82	LEFT
((1, 2), (4, 7))	-98.23	-98.09	-97.56	-97.55	RIGHT
((1, 2), (4, 8))	-113.05	-111.38	-111.98	-112.46	DOWN
((1, 2), (4, 9))	-88.01	-88.34	-88.74	-89.07	UP
((1, 2), (4, 10))	-68.17	-67.62	-68.24	-67.76	DOWN
((1, 3), (1, 1))	-732.75	-1006.80	-721.50	-732.28	LEFT
((1, 3), (1, 2))	-725.21	-982.08	-654.05	-723.68	LEFT
((1, 3), (1, 4))	-294.20	-1015.00	-308.36	-106.31	RIGHT
((1, 3), (1, 5))	-285.57	-1014.99	-359.08	-288.04	UP
((1, 3), (1, 8))	-30.08	-101.50	-30.28	-31.49	UP
((1, 3), (1, 9))	-63.89	-349.06	-63.84	-63.38	RIGHT
((1, 3), (1, 10))	-1.50	-101.50	-1.50	-1.30	RIGHT
((1, 3), (2, 1))	-741.97	-1000.30	-743.06	-732.43	RIGHT
((1, 3), (2, 2))	-716.46	-1007.82	-715.49	-714.53	RIGHT
((1, 3), (2, 4))	-689.30	-999.52	-688.62	-690.91	LEFT
((1, 3), (2, 5))	-599.10	-994.51	-602.82	-239.60	RIGHT
((1, 3), (2, 8))	-85.20	-414.83	-83.27	-84.63	LEFT
((1, 3), (2, 9))	-78.48	-414.83	-78.09	-78.27	LEFT
((1, 3), (2, 10))	-20.80	-192.47	-21.19	-20.17	RIGHT
((1, 3), (2, 11))	-7.65	-101.30	-6.80	-7.46	LEFT
((1, 3), (3, 1))	-753.79	-1009.01	-753.99	-755.19	UP
((1, 3), (3, 2))	-753.55	-1007.03	-752.73	-752.69	RIGHT
((1, 3), (3, 4))	-666.94	-984.83	-666.61	-669.93	LEFT
((1, 3), (3, 5))	-493.64	-954.09	-505.74	-208.80	RIGHT
((1, 3), (3, 7))	-76.44	-620.54	-76.46	-76.49	UP
((1, 3), (3, 8))	-75.06	-528.49	-74.69	-76.68	LEFT
((1, 3), (3, 9))	-79.67	-274.52	-79.25	-80.52	LEFT
((1, 3), (3, 10))	-27.74	-414.83	-26.00	-26.92	LEFT
((1, 3), (4, 1))	-759.20	-1003.47	-759.33	-758.80	RIGHT
((1, 3), (4, 2))	-771.65	-1005.16	-771.21	-770.77	RIGHT
((1, 3), (4, 4))	-630.01	-940.28	-630.01	-631.91	LEFT
((1, 3), (4, 5))	-468.81	-860.95	-468.06	-468.54	LEFT
((1, 3), (4, 6))	-291.04	-695.11	-291.47	-292.45	UP
((1, 3), (4, 7))	-104.12	-348.37	-103.71	-104.30	LEFT
((1, 3), (4, 8))	-118.05	-528.49	-116.95	-118.34	LEFT
((1, 3), (4, 9))	-95.17	-101.30	-95.56	-95.58	UP
((1, 3), (4, 10))	-76.53	-348.37	-76.13	-76.91	LEFT
((1, 4), (1, 1))	-730.68	-746.30	-730.28	-745.13	LEFT
((1, 4), (1, 2))	-721.98	-738.16	-723.28	-745.64	UP
((1, 4), (1, 3))	-706.97	-716.20	-708.31	-717.67	UP
((1, 4), (1, 5))	-114.22	-233.84	-238.53	-1012.00	UP
((1, 4), (1, 8))	-40.72	-41.24	-40.79	-62.41	UP
((1, 4), (1, 9))	-71.35	-72.96	-71.16	-71.12	RIGHT
((1, 4), (1, 10))	-2.66	-1.64	-2.66	-2.52	DOWN
((1, 4), (1, 11))	0.00	-1.40	0.00	0.00	UP
((1, 4), (2, 1))	-740.69	-733.06	-738.43	-741.08	DOWN
((1, 4), (2, 2))	-718.67	-705.72	-723.37	-720.67	DOWN
((1, 4), (2, 4))	-696.34	-707.96	-717.82	-721.24	UP
((1, 4), (2, 5))	-308.58	-494.19	-310.88	-111.45	RIGHT
((1, 4), (2, 8))	-99.33	-98.54	-117.57	-98.15	RIGHT
((1, 4), (2, 9))	-85.14	-123.24	-84.42	-99.82	LEFT
((1, 4), (2, 10))	-38.70	-41.87	-37.36	-57.17	LEFT
((1, 4), (2, 11))	-10.42	-10.08	-10.74	-10.29	DOWN
((1, 4), (3, 1))	-753.45	-760.92	-752.66	-765.07	LEFT
((1, 4), (3, 2))	-750.49	-770.67	-751.34	-765.89	UP
((1, 4), (3, 4))	-679.36	-679.43	-680.72	-679.02	RIGHT
((1, 4), (3, 5))	-276.37	-285.68	-378.66	-70.42	RIGHT
((1, 4), (3, 7))	-82.75	-83.16	-82.98	-107.93	UP
((1, 4), (3, 8))	-82.46	-90.86	-82.02	-126.40	LEFT
((1, 4), (3, 9))	-95.23	-95.12	-99.14	-96.00	DOWN
((1, 4), (3, 10))	-33.70	-34.25	-34.04	-34.61	UP
((1, 4), (4, 1))	-757.26	-748.47	-764.93	-771.09	DOWN
((1, 4), (4, 2))	-772.53	-766.79	-785.29	-772.20	DOWN
((1, 4), (4, 4))	-647.05	-660.14	-651.20	-652.40	UP
((1, 4), (4, 5))	-471.91	-108.96	-471.35	-342.97	DOWN
((1, 4), (4, 6))	-312.78	-247.36	-331.53	-324.31	DOWN
((1, 4), (4, 7))	-110.68	-112.04	-110.67	-121.11	LEFT
((1, 4), (4, 8))	-136.41	-136.55	-143.92	-135.71	RIGHT
((1, 4), (4, 9))	-101.76	-114.64	-101.80	-101.15	RIGHT
((1, 4), (4, 10))	-83.89	-83.18	-83.20	-83.03	RIGHT
((1, 5), (1, 1))	-719.10	-717.15	-717.25	-977.72	DOWN
((1, 5), (1, 2))	-713.56	-701.18	-712.79	-998.34	DOWN
((1, 5), (1, 3))	-674.65	-675.00	-679.43	-1010.53	UP
((1, 5), (1, 4))	-675.55	-638.31	-655.22	-1004.06	DOWN
((1, 5), (1, 8))	-40.63	-41.79	-40.63	-273.98	LEFT
((1, 5), (1, 9))	-71.80	-74.11	-73.72	-473.71	UP
((1, 5), (1, 10))	-2.47	-3.20	-2.47	-101.10	UP
((1, 5), (2, 1))	-752.37	-732.21	-733.27	-977.72	DOWN
((1, 5), (2, 2))	-731.93	-706.70	-705.78	-1005.44	LEFT
((1, 5), (2, 4))	-684.82	-706.28	-686.32	-1012.50	UP
((1, 5), (2, 5))	-210.94	79.85	-192.52	-1013.00	DOWN
((1, 5), (2, 8))	-99.97	-99.61	-99.16	-693.74	LEFT
((1, 5), (2, 9))	-117.77	-87.58	-87.16	-273.98	LEFT
((1, 5), (2, 10))	-39.18	-34.11	-35.32	-473.71	DOWN
((1, 5), (2, 11))	-13.30	-13.88	-13.48	-101.10	UP
((1, 5), (3, 1))	-743.31	-719.71	-737.46	-967.57	DOWN
((1, 5), (3, 2))	-747.42	-730.27	-731.18	-998.34	DOWN
((1, 5), (3, 4))	-673.65	-703.83	-673.09	-942.13	LEFT
((1, 5), (3, 5))	-319.59	-10.35	-220.53	-1012.73	DOWN
((1, 5), (3, 7))	-72.16	-80.50	-69.99	-473.71	LEFT
((1, 5), (3, 8))	-85.01	-86.45	-85.06	-527.44	UP
((1, 5), (3, 9))	-121.78	-94.63	-93.89	-347.68	LEFT
((1, 5), (3, 10))	-48.97	-37.82	-38.51	-192.09	DOWN
((1, 5), (4, 1))	-759.07	-760.78	-746.23	-998.00	LEFT
((1, 5), (4, 2))	-768.70	-783.25	-769.86	-971.00	UP
((1, 5), (4, 4))	-630.10	-631.51	-629.35	-915.05	LEFT
((1, 5), (4, 5))	-441.61	-161.15	-445.80	-913.24	DOWN
((1, 5), (4, 6))	-315.65	-360.15	-301.50	-779.72	LEFT
((1, 5), (4, 7))	-107.67	-132.79	-106.80	-575.80	LEFT
((1, 5), (4, 8))	-138.80	-138.46	-139.13	-575.80	DOWN
((1, 5), (4, 9))	-150.47	-106.69	-107.17	-347.68	DOWN
((1, 5), (4, 10))	-84.21	-84.22	-84.83	-347.68	UP
((1, 8), (1, 1))	-646.02	-647.32	-897.75	-648.11	UP
((1, 8), (1, 2))	-625.27	-622.22	-882.21	-621.35	RIGHT
((1, 8), (1, 3))	-624.66	-623.35	-958.80	-624.28	DOWN
((1, 8), (1, 4))	-554.40	-554.76	-904.83	-554.90	UP
((1, 8), (1, 5))	-606.80	-593.48	-903.05	-592.52	RIGHT
((1, 8), (1, 9))	551.66	572.69	-1010.00	694.31	RIGHT
((1, 8), (1, 10))	398.94	357.88	-944.74	704.42	RIGHT
((1, 8), (1, 11))	-32.87	-33.11	-191.90	548.70	RIGHT
((1, 8), (1, 12))	-33.10	-43.95	-191.90	27.31	RIGHT
((1, 8), (1, 13))	-1.00	-1.00	-101.00	-0.80	RIGHT
((1, 8), (2, 1))	-660.59	-661.64	-811.58	-662.06	UP
((1, 8), (2, 2))	-614.08	-622.15	-849.89	-603.95	RIGHT
((1, 8), (2, 4))	-537.72	-536.99	-956.92	-538.60	DOWN
((1, 8), (2, 5))	-481.41	-513.18	-861.80	-481.02	RIGHT
((1, 8), (2, 8))	-152.08	-151.82	-693.05	-151.44	RIGHT
((1, 8), (2, 9))	-125.49	268.58	-724.75	-111.46	DOWN
((1, 8), (2, 10))	-75.67	-75.95	-347.34	-75.69	UP
((1, 8), (2, 11))	-30.56	-31.01	-191.90	-32.64	UP
((1, 8), (2, 13))	0.00	0.00	-101.00	0.00	UP
((1, 8), (3, 1))	-665.97	-648.33	-897.75	-648.25	RIGHT
((1, 8), (3, 2))	-658.08	-658.01	-919.55	-657.18	RIGHT
((1, 8), (3, 4))	-597.76	-588.46	-925.95	-589.98	DOWN
((1, 8), (3, 5))	-396.35	-396.61	-826.10	-395.42	RIGHT
((1, 8), (3, 7))	-185.40	-142.83	-413.61	-142.54	RIGHT
((1, 8), (3, 8))	-143.65	-142.90	-526.92	-143.65	DOWN
((1, 8), (3, 9))	-185.01	-170.58	-618.71	-137.41	RIGHT
((1, 8), (3, 10))	-79.28	-78.85	-347.34	-80.13	DOWN
((1, 8), (3, 13))	0.00	0.00	-101.00	0.00	UP
((1, 8), (4, 1))	-697.05	-697.76	-973.86	-696.31	RIGHT
((1, 8), (4, 2))	-675.99	-674.70	-929.60	-674.39	RIGHT
((1, 8), (4, 4))	-588.15	-587.85	-962.83	-579.01	RIGHT
((1, 8), (4, 5))	-313.16	-351.54	-782.03	-315.29	UP
((1, 8), (4, 6))	-240.09	-240.01	-726.18	-240.00	RIGHT
((1, 8), (4, 7))	-156.77	-191.57	-693.05	-157.33	UP
((1, 8), (4, 8))	-120.80	-124.37	-618.71	-121.24	UP
((1, 8), (4, 9))	-152.89	-170.96	-575.23	-148.63	RIGHT
((1, 8), (4, 10))	-139.71	-138.65	-724.75	-138.66	DOWN
((1, 9), (1, 1))	-646.24	-647.22	-647.17	-648.92	UP
((1, 9), (1, 2))	-622.88	-623.67	-622.34	-623.05	LEFT
((1, 9), (1, 3))	-623.92	-625.01	-656.95	-625.01	UP
((1, 9), (1, 4))	-556.10	-556.86	-579.68	-556.67	UP
((1, 9), (1, 5))	-592.00	-590.50	-591.38	-590.94	DOWN
((1, 9), (1, 8))	-116.09	-114.79	-619.32	-116.01	DOWN
((1, 9), (1, 10))	607.81	646.46	622.45	701.16	RIGHT
((1, 9), (1, 11))	538.96	404.72	381.79	737.50	RIGHT
((1, 9), (1, 12))	-29.55	-22.03	-30.47	580.53	RIGHT
((1, 9), (1, 13))	-1.80	-2.35	-2.44	-2.20	UP
((1, 9), (2, 1))	-660.23	-660.46	-661.34	-661.08	UP
((1, 9), (2, 2))	-603.96	-604.28	-626.32	-604.80	UP
((1, 9), (2, 4))	-552.80	-553.33	-563.62	-553.07	UP
((1, 9), (2, 5))	-480.64	-479.85	-481.36	-479.69	RIGHT
((1, 9), (2, 8))	-154.12	-181.03	-205.18	-154.90	UP
((1, 9), (2, 9))	-129.39	-133.42	224.49	-125.99	LEFT
((1, 9), (2, 10))	-74.11	-74.50	-75.33	-74.45	UP
((1, 9), (2, 11))	-43.58	-42.78	-42.28	-42.47	LEFT
((1, 9), (3, 1))	-647.71	-647.76	-648.28	-648.48	UP
((1, 9), (3, 2))	-657.84	-657.70	-655.96	-657.04	LEFT
((1, 9), (3, 4))	-596.18	-595.98	-623.96	-596.67	DOWN
((1, 9), (3, 5))	-404.76	-405.63	-435.77	-405.56	UP
((1, 9), (3, 7))	-145.58	-145.09	-148.34	-145.19	DOWN
((1, 9), (3, 8))	-147.39	-146.90	-146.70	-147.45	LEFT
((1, 9), (3, 9))	-144.91	-140.51	-142.24	-140.44	RIGHT
((1, 9), (3, 10))	-81.95	-81.83	-82.07	-81.89	DOWN
((1, 9), (3, 13))	0.00	0.00	-0.90	0.00	UP
((1, 9), (4, 1))	-694.97	-694.96	-695.87	-694.28	RIGHT
((1, 9), (4, 2))	-674.24	-675.26	-674.60	-675.35	UP
((1, 9), (4, 4))	-587.95	-588.61	-593.38	-587.48	RIGHT
((1, 9), (4, 5))	-333.02	-332.59	-390.32	-333.41	DOWN
((1, 9), (4, 6))	-257.78	-256.77	-294.93	-257.02	DOWN
((1, 9), (4, 7))	-154.89	-155.50	-156.00	-155.38	UP
((1, 9), (4, 8))	-156.05	-156.55	-156.93	-155.69	RIGHT
((1, 9), (4, 9))	-162.06	-163.17	-179.10	-161.83	RIGHT
((1, 9), (4, 10))	-159.92	-160.03	-235.58	-159.76	RIGHT
((1, 10), (1, 1))	-644.26	-645.63	-644.26	-645.54	UP
((1, 10), (1, 2))	-619.36	-619.25	-619.79	-618.86	RIGHT
((1, 10), (1, 3))	-622.54	-622.21	-622.96	-621.79	RIGHT
((1, 10), (1, 4))	-552.66	-554.29	-552.94	-552.66	RIGHT
((1, 10), (1, 5))	-589.32	-590.04	-589.40	-588.73	RIGHT
((1, 10), (1, 8))	-118.18	-118.49	-134.82	-118.82	UP
((1, 10), (1, 9))	257.99	262.30	-119.74	220.98	DOWN
((1, 10), (1, 11))	632.10	682.10	645.95	726.61	RIGHT
((1, 10), (1, 12))	501.35	503.38	465.20	612.62	RIGHT
((1, 10), (1, 13))	-3.17	-3.48	-3.67	512.92	RIGHT
((1, 10), (2, 1))	-657.57	-658.10	-656.95	-657.72	LEFT
((1, 10), (2, 2))	-599.26	-599.05	-599.93	-599.62	DOWN
((1, 10), (2, 4))	-547.63	-549.70	-548.26	-546.82	RIGHT
((1, 10), (2, 5))	-477.37	-476.41	-476.30	-475.09	RIGHT
((1, 10), (2, 8))	-152.57	-153.14	-153.42	-153.32	UP
((1, 10), (2, 9))	-125.01	-127.70	130.34	-124.44	LEFT
((1, 10), (2, 10))	-72.82	-74.79	-73.25	-73.14	UP
((1, 10), (2, 11))	-44.50	-43.94	-44.28	-44.39	DOWN
((1, 10), (3, 1))	-644.82	-646.13	-647.23	-645.07	UP
((1, 10), (3, 2))	-654.20	-655.83	-654.25	-654.54	UP
((1, 10), (3, 4))	-594.50	-596.00	-594.48	-594.65	LEFT
((1, 10), (3, 5))	-403.51	-402.83	-403.04	-402.67	RIGHT
((1, 10), (3, 7))	-144.28	-143.95	-144.29	-145.69	DOWN
((1, 10), (3, 8))	-148.04	-149.27	-147.38	-149.63	LEFT
((1, 10), (3, 9))	-138.62	-138.40	-139.08	-138.80	DOWN
((1, 10), (3, 10))	-83.61	-83.23	-83.53	-83.74	DOWN
((1, 10), (3, 13))	0.00	0.00	-0.80	0.00	UP
((1, 10), (4, 1))	-691.89	-690.82	-690.90	-692.14	DOWN
((1, 10), (4, 2))	-671.86	-672.88	-672.77	-672.87	UP
((1, 10), (4, 4))	-586.44	-587.04	-587.29	-586.48	UP
((1, 10), (4, 5))	-330.94	-332.26	-331.50	-331.44	UP
((1, 10), (4, 6))	-257.31	-257.15	-257.74	-257.25	DOWN
((1, 10), (4, 7))	-151.97	-152.95	-153.82	-151.77	RIGHT
((1, 10), (4, 8))	-153.63	-153.72	-154.20	-153.28	RIGHT
((1, 10), (4, 9))	-160.72	-160.25	-160.46	-160.77	DOWN
((1, 10), (4, 10))	-161.04	-161.06	-160.77	-160.89	LEFT
((1, 11), (1, 1))	-639.48	-644.65	-639.60	-639.03	RIGHT
((1, 11), (1, 2))	-613.30	-617.32	-613.12	-611.74	RIGHT
((1, 11), (1, 3))	-618.98	-629.59	-619.46	-646.55	UP
((1, 11), (1, 4))	-547.23	-565.42	-548.05	-582.60	UP
((1, 11), (1, 5))	-585.57	-591.59	-584.58	-585.44	LEFT
((1, 11), (1, 8))	-120.53	-147.90	-119.79	-136.03	LEFT
((1, 11), (1, 9))	35.43	-50.56	278.93	-119.93	LEFT
((1, 11), (1, 10))	-38.05	-43.75	-38.41	-37.86	RIGHT
((1, 11), (1, 12))	612.27	456.21	584.97	788.07	RIGHT
((1, 11), (1, 13))	754.93	238.99	213.98	557.70	UP
((1, 11), (2, 1))	-648.46	-649.47	-650.50	-649.77	UP
((1, 11), (2, 2))	-590.54	-599.02	-591.45	-590.12	RIGHT
((1, 11), (2, 4))	-539.97	-540.41	-540.08	-534.61	RIGHT
((1, 11), (2, 5))	-467.99	-469.45	-468.19	-468.07	UP
((1, 11), (2, 8))	-151.04	-150.74	-151.18	-150.50	RIGHT
((1, 11), (2, 9))	-120.80	-154.06	-120.90	-120.28	RIGHT
((1, 11), (2, 10))	-71.66	-69.34	-71.81	-78.67	DOWN
((1, 11), (2, 11))	-36.22	-272.36	-36.00	-34.93	RIGHT
((1, 11), (2, 13))	-0.70	0.00	0.00	696.76	RIGHT
((1, 11), (3, 1))	-637.88	-639.63	-639.60	-641.22	UP
